Comune,Provincia,Regione,Nome,Anno inserimento,OpenStreetMap ID,Longitudine,Latitudine
Bologna,BOLOGNA,Emilia-Romagna,Università di Bologna - Dipartimento di Matematica,2015,1627377019,11.355896,44.497953
Bologna,BOLOGNA,Emilia-Romagna,Università di Bologna - Dipartimento di Patologia,2013,1627377023,11.355743,44.496816
Bologna,BOLOGNA,Emilia-Romagna,Università di Bologna - Dipartimento di Scienze,2013,1627377024,11.353736,44.495766
Bologna,BOLOGNA,Emilia-Romagna,Università di Bologna - Dipartimento di Scienze,2012,1627377026,11.356024,44.497063
Bologna,BOLOGNA,Emilia-Romagna,Università di Bologna - Aule Ercolani,2016,1627377042,11.356454,44.497234
Bologna,BOLOGNA,Emilia-Romagna,Università di Bologna - Dipartimento di Scienze,2015,1627377047,11.354505,44.496052
Bologna,BOLOGNA,Emilia-Romagna,Università di Bologna - Facoltà di Farmacia,2013,1628350078,11.358706,44.498846
Bologna,BOLOGNA,Emilia-Romagna,Scuola di Ingegneria e Architettura,2015,1638063755,11.32951,44.487672
Bologna,BOLOGNA,Emilia-Romagna,Università di Bologna – Informatica,2012,1638065751,11.328014,44.487099
Pisa,PISA,Toscana,Scuola Superiore Sant'Anna,2014,1677276904,10.402644,43.720608
Nuoro,NUORO,Sardegna,Polo di Scienze Forestali - Università di Sassa,2014,1693378514,9.31049,40.312819
Bologna,BOLOGNA,Emilia-Romagna,Università di Bologna - Dipartimento di Scienze,2014,1704277275,11.352148,44.497721
Pisa,PISA,Toscana,Dipartimento di Fisica ‘E. Fermi’,2015,1715982941,10.407898,43.72013
Pisa,PISA,Toscana,Dipartimento di Informatica,2015,1715982961,10.408225,43.720378
Verres,AOSTA,Valle d’Aosta,Politecnico Di Torino - Sede Decentrata Di Verre,2015,1732839046,7.689882,45.664998
Bologna,BOLOGNA,Emilia-Romagna,Università di Bologna - Dipartimento di Musica,2013,1735448481,11.335062,44.502414
Genova,GENOVA,Liguria,Laboratorio di Geodesia Geomatica e GIS,2015,1786322470,8.963103,44.40027
Modena,MODENA,Emilia-Romagna,UNIMORE Facoltà di Giurisprudenza,2015,1787125988,10.927775,44.64503
Modena,MODENA,Emilia-Romagna,UNIMORE Università degli Studi di Modena e Reggio Emilia,2015,1795635035,10.943483,44.632131
Bari,BARI,Puglia,biotechnology faculty,2014,1817880405,16.879166,41.104771
Macerata,MACERATA,Marche,Università - Facoltà Giurisprudenza - Aula magna,2013,1905647261,13.453999,43.300213
Ferrara,FERRARA,Emilia-Romagna,Facoltà di Medicina e Chirurgia,2012,1956435099,11.632427,44.836631
Ferrara,FERRARA,Emilia-Romagna,Facoltà di Farmacia,2012,1956435100,11.631681,44.837269
Ferrara,FERRARA,Emilia-Romagna,Facoltà di Ingegneria,2015,1956436874,11.5984,44.834088
Ferrara,FERRARA,Emilia-Romagna,Facoltà di Scienze Matematiche Fisiche e Naturali,2012,1956438074,11.621908,44.842188
Ferrara,FERRARA,Emilia-Romagna,Dipartimento di Scienze biomediche e Chirurgico,2012,1956451289,11.631464,44.83274
Ferrara,FERRARA,Emilia-Romagna,Dipartimento di Morfologia Chirurgia Medicina,2012,1956451290,11.63339,44.837989
